lam chi alb
0.822E-01 0.123E+06 0.855E-01
0.847E-01 0.115E+06 0.897E-01
0.878E-01 0.109E+06 0.948E-01
0.917E-01 0.104E+06 0.103E+00
0.963E-01 0.977E+05 0.111E+00
0.101E+00 0.913E+05 0.118E+00
0.107E+00 0.834E+05 0.124E+00
0.114E+00 0.745E+05 0.130E+00
0.122E+00 0.671E+05 0.135E+00
0.129E+00 0.614E+05 0.143E+00
0.136E+00 0.570E+05 0.151E+00
0.145E+00 0.534E+05 0.162E+00
0.154E+00 0.504E+05 0.177E+00
0.161E+00 0.484E+05 0.194E+00
0.168E+00 0.472E+05 0.211E+00
0.175E+00 0.469E+05 0.230E+00
0.181E+00 0.475E+05 0.246E+00
0.187E+00 0.491E+05 0.256E+00
0.193E+00 0.515E+05 0.260E+00
0.201E+00 0.558E+05 0.257E+00
0.208E+00 0.603E+05 0.250E+00
0.212E+00 0.626E+05 0.246E+00
0.216E+00 0.635E+05 0.247E+00
0.218E+00 0.635E+05 0.249E+00
0.221E+00 0.627E+05 0.254E+00
0.223E+00 0.616E+05 0.259E+00
0.227E+00 0.593E+05 0.269E+00
0.233E+00 0.552E+05 0.288E+00
0.240E+00 0.506E+05 0.310E+00
0.246E+00 0.467E+05 0.329E+00
0.253E+00 0.439E+05 0.343E+00
0.261E+00 0.412E+05 0.356E+00
0.272E+00 0.383E+05 0.369E+00
0.288E+00 0.355E+05 0.378E+00
0.310E+00 0.328E+05 0.387E+00
0.337E+00 0.298E+05 0.400E+00
0.368E+00 0.268E+05 0.415E+00
0.402E+00 0.242E+05 0.432E+00
0.439E+00 0.219E+05 0.448E+00
0.479E+00 0.197E+05 0.465E+00
0.523E+00 0.177E+05 0.480E+00
0.573E+00 0.159E+05 0.494E+00
0.629E+00 0.142E+05 0.505E+00
0.694E+00 0.127E+05 0.514E+00
0.769E+00 0.113E+05 0.518E+00
0.851E+00 0.101E+05 0.518E+00
0.940E+00 0.893E+04 0.516E+00
