Full    n(H)    Lambda0     Kappa0    Lambda1     Kappa1    Lambda2     Kappa2
        cm-3       um       cm2/g        um       cm2/g        um       cm2/g

   1    0e+00   1.00e+00   9.18e+03   1.00e+00   1.11e+04   1.00e+00   1.06e+04
   2    0e+00   1.17e+00   7.85e+03   1.17e+00   9.41e+03   1.17e+00   9.06e+03
   3    0e+00   1.36e+00   6.57e+03   1.36e+00   7.92e+03   1.36e+00   7.59e+03
   4    0e+00   1.59e+00   5.23e+03   1.59e+00   6.47e+03   1.59e+00   6.10e+03
   5    0e+00   1.85e+00   4.14e+03   1.85e+00   5.34e+03   1.85e+00   4.89e+03
   6    0e+00   2.15e+00   3.25e+03   2.15e+00   4.42e+03   2.15e+00   3.89e+03
   7    0e+00   2.51e+00   2.50e+03   2.51e+00   3.66e+03   2.51e+00   3.03e+03
   8    0e+00   2.71e+00   2.20e+03   2.71e+00   3.38e+03   2.71e+00   2.69e+03
   9    0e+00   2.82e+00   2.07e+03   2.82e+00   7.17e+03   2.82e+00   2.94e+03
  10    0e+00   2.93e+00   1.95e+03   2.93e+00   3.13e+04   2.93e+00   5.41e+03
  11    0e+00   3.04e+00   1.84e+03   3.04e+00   3.31e+04   3.04e+00   5.06e+03
  12    0e+00   3.16e+00   1.73e+03   3.16e+00   1.64e+04   3.16e+00   3.40e+03
  13    0e+00   3.29e+00   1.62e+03   3.29e+00   5.11e+03   3.29e+00   2.28e+03
  14    0e+00   3.41e+00   1.52e+03   3.41e+00   3.06e+03   3.41e+00   1.98e+03
  15    0e+00   3.55e+00   1.42e+03   3.55e+00   2.56e+03   3.55e+00   1.82e+03
  16    0e+00   3.69e+00   1.36e+03   3.69e+00   1.85e+03   3.69e+00   1.68e+03
  17    0e+00   3.83e+00   1.30e+03   3.83e+00   1.82e+03   3.83e+00   1.61e+03
  18    0e+00   3.98e+00   1.24e+03   3.98e+00   1.71e+03   3.98e+00   1.54e+03
  19    0e+00   4.30e+00   1.12e+03   4.30e+00   1.76e+03   4.30e+00   1.41e+03
  20    0e+00   4.64e+00   1.01e+03   4.64e+00   1.89e+03   4.64e+00   1.31e+03
  21    0e+00   5.01e+00   9.19e+02   5.01e+00   1.27e+03   5.01e+00   1.15e+03
  22    0e+00   5.41e+00   8.40e+02   5.41e+00   1.16e+03   5.41e+00   1.05e+03
  23    0e+00   5.84e+00   7.90e+02   5.84e+00   2.58e+03   5.84e+00   1.13e+03
  24    0e+00   6.31e+00   7.65e+02   6.31e+00   2.28e+03   6.31e+00   1.08e+03
  25    0e+00   6.81e+00   7.40e+02   6.81e+00   2.11e+03   6.81e+00   1.03e+03
  26    0e+00   7.36e+00   7.14e+02   7.36e+00   1.35e+03   7.36e+00   9.28e+02
  27    0e+00   7.94e+00   7.06e+02   7.94e+00   1.05e+03   7.94e+00   8.80e+02
  28    0e+00   8.58e+00   7.97e+02   8.58e+00   9.80e+02   8.58e+00   9.39e+02
  29    0e+00   8.91e+00   1.08e+03   8.91e+00   1.59e+03   8.91e+00   1.25e+03
  30    0e+00   9.26e+00   1.41e+03   9.26e+00   1.57e+03   9.26e+00   1.53e+03
  31    0e+00   9.62e+00   1.79e+03   9.62e+00   2.64e+03   9.62e+00   1.98e+03
  32    0e+00   9.81e+00   1.96e+03   9.81e+00   5.19e+03   9.81e+00   2.40e+03
  33    0e+00   1.00e+01   2.07e+03   1.00e+01   2.90e+03   1.00e+01   2.27e+03
  34    0e+00   1.04e+01   1.91e+03   1.04e+01   3.28e+03   1.04e+01   2.18e+03
  35    0e+00   1.08e+01   1.62e+03   1.08e+01   4.83e+03   1.08e+01   2.10e+03
  36    0e+00   1.12e+01   1.42e+03   1.12e+01   6.67e+03   1.12e+01   2.14e+03
  37    0e+00   1.17e+01   1.18e+03   1.17e+01   7.98e+03   1.17e+01   2.04e+03
  38    0e+00   1.26e+01   7.54e+02   1.26e+01   8.16e+03   1.26e+01   1.58e+03
  39    0e+00   1.36e+01   6.37e+02   1.36e+01   6.82e+03   1.36e+01   1.30e+03
  40    0e+00   1.47e+01   5.99e+02   1.47e+01   5.12e+03   1.47e+01   1.09e+03
  41    0e+00   1.59e+01   7.12e+02   1.59e+01   4.05e+03   1.59e+01   1.09e+03
  42    0e+00   1.71e+01   9.37e+02   1.71e+01   3.52e+03   1.71e+01   1.24e+03
  43    0e+00   1.85e+01   9.59e+02   1.85e+01   3.13e+03   1.85e+01   1.25e+03
  44    0e+00   2.00e+01   7.47e+02   2.00e+01   2.46e+03   2.00e+01   9.97e+02
  45    0e+00   2.15e+01   5.91e+02   2.15e+01   1.83e+03   2.15e+01   7.90e+02
  46    0e+00   2.51e+01   4.11e+02   2.51e+01   9.78e+02   2.51e+01   5.34e+02
  47    0e+00   2.93e+01   3.03e+02   2.93e+01   4.42e+02   2.93e+01   3.74e+02
  48    0e+00   3.42e+01   2.23e+02   3.42e+01   7.01e+02   3.42e+01   3.14e+02
  49    0e+00   3.69e+01   1.92e+02   3.69e+01   9.31e+02   3.69e+01   3.05e+02
  50    0e+00   3.98e+01   1.68e+02   3.98e+01   1.18e+03   3.98e+01   3.02e+02
  51    0e+00   4.30e+01   1.46e+02   4.30e+01   1.42e+03   4.30e+01   3.00e+02
  52    0e+00   4.64e+01   1.25e+02   4.64e+01   1.41e+03   4.64e+01   2.72e+02
  53    0e+00   5.41e+01   9.05e+01   5.41e+01   9.79e+02   5.41e+01   1.92e+02
  54    0e+00   6.31e+01   7.16e+01   6.31e+01   6.59e+02   6.31e+01   1.43e+02
  55    0e+00   7.36e+01   5.60e+01   7.36e+01   4.25e+02   7.36e+01   1.05e+02
  56    0e+00   8.58e+01   4.37e+01   8.58e+01   2.62e+02   8.58e+01   7.76e+01
  57    0e+00   1.00e+02   3.44e+01   1.00e+02   1.27e+02   1.00e+02   5.56e+01
  58    0e+00   1.17e+02   2.70e+01   1.17e+02   8.30e+01   1.17e+02   4.30e+01
  59    0e+00   1.36e+02   2.08e+01   1.36e+02   5.73e+01   1.36e+02   3.30e+01
  60    0e+00   1.58e+02   1.59e+01   1.58e+02   3.98e+01   1.58e+02   2.53e+01
  61    0e+00   1.85e+02   1.17e+01   1.85e+02   2.71e+01   1.85e+02   1.87e+01
  62    0e+00   2.26e+02   8.16e+00   2.26e+02   1.75e+01   2.26e+02   1.30e+01
  63    0e+00   3.50e+02   3.64e+00   3.50e+02   7.79e+00   3.50e+02   5.91e+00
  64    0e+00   5.00e+02   1.77e+00   5.00e+02   3.79e+00   5.00e+02   2.90e+00
  65    0e+00   7.00e+02   9.09e-01   7.00e+02   1.93e+00   7.00e+02   1.48e+00
  66    0e+00   1.00e+03   4.77e-01   1.00e+03   1.01e+00   1.00e+03   7.81e-01
  67    0e+00   1.30e+03   3.10e-01   1.30e+03   6.49e-01   1.30e+03   5.11e-01
  68    1e+05   1.00e+00   9.66e+03   1.00e+00   1.16e+04   1.00e+00   1.12e+04
  69    1e+05   1.17e+00   8.27e+03   1.17e+00   9.81e+03   1.17e+00   9.54e+03
  70    1e+05   1.36e+00   6.95e+03   1.36e+00   8.30e+03   1.36e+00   8.02e+03
  71    1e+05   1.59e+00   5.57e+03   1.59e+00   6.87e+03   1.59e+00   6.49e+03
  72    1e+05   1.85e+00   4.45e+03   1.85e+00   5.74e+03   1.85e+00   5.24e+03
